id,breed
000bec180eb18c7604dcecc8fe0dba07,boston_bull
001513dfcb2ffafc82cccf4d8bbaba97,dingo
001cdf01b096e06d78e9e5112d419397,pekinese
00214f311d5d2247d5dfe4fe24b2303d,bluetick
0021f9ceb3235effd7fcde7f7538ed62,golden_retriever
002211c81b498ef88e1b40b9abf84e1d,bedlington_terrier
00290d3e1fdd27226ba27a8ce248ce85,bedlington_terrier
002a283a315af96eaea0e28e7163b21b,borzoi
003df8b8a8b05244b1d920bb6cf451f9,basenji
0042188c895a2f14ef64a918ed9c7b64,scottish_deerhound
004396df1acd0f1247b740ca2b14616e,shetland_sheepdog
0067dc3eab0b3c3ef0439477624d85d6,walker_hound
00693b8bc2470375cc744a6391d397ec,maltese_dog
006cc3ddb9dc1bd827479569fcdc52dc,bluetick
0075dc49dab4024d12fafe67074d8a81,norfolk_terrier
00792e341f3c6eb33663e415d0715370,african_hunting_dog
007b5a16db9d9ff9d7ad39982703e429,wire-haired_fox_terrier
007b8a07882822475a4ce6581e70b1f8,redbone
007ff9a78eba2aebb558afea3a51c469,lakeland_terrier
008887054b18ba3c7601792b6a453cc3,boxer
